Name,Street,City,State,Zip Code,Latitude,Longitude,Country,URL,Provides Jobs,Provides Housing,Provides Food,LGBT friendly,For Minors,Families,Healthcare,Veterans,Substance Abuse Help,Counseling
SEARCH Homeless Services,2505 Fannin St,Houston,TX,77002,29.7450856,-95.372524,United States,http://searchhomeless.org,Yes,Yes,Yes,-,-,Yes,-,-,-,
Star of Hope,1811 Ruiz St,Houston,TX,77002,29.7606317,-95.3514548,United States,http://www.sohmission.org/,Yes,-,Yes,-,Yes,Yes,-,-,-,
Life Center for the Homeless,4516 Old Yale St,Houston,TX,77018,29.8317859,-95.4026179,United States,http://www.lifecenterhouston.com/,Yes,Yes,Yes,Yes,-,-,-,-,-,
Turning Point Center,1701 Jacquelyn Dr,Houston,TX,77055,29.800028,-95.4812791,United States,http://www.turningpointcenter.org/,Yes,Yes,Yes,-,-,-,-,-,-,
Bristow Center,2627 Caroline St,Houston,TX,77004,29.742879,-95.3717748,United States,http://www.mhmraharris.org/Bristow-Homeless-Unit-PATH.asp,-,-,-,Yes,Yes,Yes,Yes,-,-,
Safe Haven,1215 Dennis St,Houston,TX,77004,29.7432435,-95.3723995,United States,http://www.safehavencommunityservices.org/,-,Yes,-,Yes,Yes,Yes,-,-,-,
Casa Juan Diego,4818 Rose St,Houston,TX,77007,29.7692087,-95.4102821,United States,http://cjd.org/,-,Yes,Yes,-,-,Yes,Yes,-,-,
Volunteers of America,"12425 Chimney Rock, Suite 250",Houston,TX,77035,29.6429265,-95.4810471,United States,http://www.volunteerhouston.org,-,Yes,Yes,-,Yes,-,Yes,Yes,Yes,
New Hope Housing,"320 Hamilton St, Houston",Houston,TX,77002,29.7572699,-95.353603,United States,http://www.newhopehousing.com/,Yes,Yes,-,-,-,-,-,-,-,
American GI Forum,2626 S Loop W Fwy # 320,Houston,TX,77054,29.6785244,-95.4211761,United States,http://www.agif-nvop.org/,-,Yes,-,-,-,-,-,Yes,-,
DePelchin CHildren's Center,"4950 Memorial Dr, Houston",Houston,TX,77007,29.7633895,-95.4108909,United States,http://depelchin.org/‎,-,Yes,-,-,Yes,Yes,Yes,-,-,
The Montrose Center,"401 Branard St, Houston",Houston,TX,77006,29.7365187,-95.3847939,United States,http://www.montrosecenter.org/,-,-,-,-,Yes,Yes,Yes,-,Yes,
UH LGBT Resource Center,4465 University Dr. Rm. N201,Houston,TX,77204,29.7185174,-95.3378789,United States,http://www.uh.edu/lgbt/,-,-,-,Yes,Yes,Yes,-,-,-,
Young Adult Resource Center,2208 Main St,Houston ,TX,77002,29.7477661,-95.3724921,United States,http://salvationarmyhouston.org/0/3923363/0/94426D94439D96181/,Yes,Yes,Yes,Yes,-,-,-,Yes,Yes,Yes
Open Gate Homeless Ministries,1440 Harold St,Houston,TX,77006,29.7415596,-95.3970923,United States,http://www.beringopengate.org/,-,Yes,Yes,Yes,-,Yes,Yes,-,Yes,Yes
